DEG2006	DEG20060001	GBAP	GI:-	-	-	Beta-glucosidase	Homo sapiens	1
DEG2006	DEG20060002	MTHFR	GI:-	-	-	Methylenetetrahydrofolate reductase	Homo sapiens	1
DEG2006	DEG20060003	ECE1	GI:-	-	-	Endothelin converting enzyme 1	Homo sapiens	1
DEG2006	DEG20060004	HSPG2	GI:-	-	-	Perlecan	Homo sapiens	1
DEG2006	DEG20060005	TGIF1	GI:-	-	-	TG-interacting factor	Homo sapiens	18
DEG2006	DEG20060006	GLB1	GI:-	-	-	Galactosidase, beta-1	Homo sapiens	3
DEG2006	DEG20060007	MKKS	GI:-	-	-	McKusick-Kaufman syndrome gene	Homo sapiens	20
DEG2006	DEG20060008	DNAH11	GI:-	-	-	Dyneins, axonemal, heavy chain 11	Homo sapiens	7
DEG2006	DEG20060009	STK11	GI:-	-	-	Serine/threonine protein kinase-11	Homo sapiens	19
DEG2006	DEG20060010	PDHA1	GI:-	-	-	E1-alpha subunit of pyruvate decarboxylase	Homo sapiens	X
DEG2006	DEG20060011	SLC37A4	GI:-	-	-	Glucose-6-phosphate transporter-1	Homo sapiens	11
DEG2006	DEG20060012	DNMT3B	GI:-	-	-	DNA methyltransferase 3B	Homo sapiens	20
DEG2006	DEG20060013	UBR1	GI:-	-	-	Ubiquitin-protein ligase E3 component N-recognin 1	Homo sapiens	15
DEG2006	DEG20060014	CSF3R	GI:-	-	-	Colony-stimulating factor-3 receptor (granulocyte)	Homo sapiens	1
DEG2006	DEG20060015	GATA3	GI:-	-	-	GATA-binding protein-3	Homo sapiens	10
DEG2006	DEG20060016	FGFR1	GI:-	-	-	Fibroblast growth factor receptor-1 (fms-related tyrosine kinase-2)	Homo sapiens	8
DEG2006	DEG20060017	EDNRB	GI:-	-	-	Endothelin receptor type B	Homo sapiens	13
DEG2006	DEG20060018	ASPA	GI:-	-	-	Aspartoacylase (aminoacylase-2)	Homo sapiens	17
DEG2006	DEG20060019	ERCC5	GI:-	-	-	Excision-repair, complementing defective, in Chinese hamster, number 5	Homo sapiens	13
DEG2006	DEG20060020	PCCA	GI:-	-	-	Propionyl Coenzyme A carboxylase, alpha polypeptide	Homo sapiens	13
DEG2006	DEG20060021	GALT	GI:-	-	-	Galactose-1-phosphate uridylyltransferase	Homo sapiens	9
DEG2006	DEG20060022	STAR	GI:-	-	-	Steroidogenic acute regulatory protein	Homo sapiens	8
DEG2006	DEG20060023	ZIC2	GI:-	-	-	ZIC family member 2	Homo sapiens	13
DEG2006	DEG20060024	CTSD	GI:-	-	-	Cathepsin D	Homo sapiens	11
DEG2006	DEG20060025	NR0B1	GI:-	-	-	DSS-AHC critical region on the X chromosome, gene 1	Homo sapiens	X
DEG2006	DEG20060026	PAFAH1B1	GI:-	-	-	Platelet-activating factor acetylhydrolase, isoform 1B, alpha subunit	Homo sapiens	17
DEG2006	DEG20060027	PTCH2	GI:-	-	-	Patched, drosophila, homolog of, 2	Homo sapiens	1
DEG2006	DEG20060028	SMPD1	GI:-	-	-	Sphingomyelin phosphodiesterase-1, acid lysosomal	Homo sapiens	11
DEG2006	DEG20060029	PLA2G6	GI:-	-	-	Phospholipase A2, group VI	Homo sapiens	22
DEG2006	DEG20060030	AR	GI:-	-	-	Androgen receptor (dihydrotestosterone receptor)	Homo sapiens	X
DEG2006	DEG20060031	CYP7B1	GI:-	-	-	Oxysterol 7-alpha-hydroxylase	Homo sapiens	8
DEG2006	DEG20060032	TP53	GI:-	-	-	Tumor protein p53	Homo sapiens	17
DEG2006	DEG20060033	ADA	GI:-	-	-	Adenosine deaminase	Homo sapiens	20
DEG2006	DEG20060034	HEXB	GI:-	-	-	Hexosaminidase B, beta polypeptide	Homo sapiens	5
DEG2006	DEG20060035	CRH	GI:-	-	-	Corticotropin-releasing hormone	Homo sapiens	8
