DEG2011	DEG20110001	SKI	EMBL:ENST00000378536.4	-	-	SKI proto-oncogene	Homo sapiens	1p36.33
DEG2011	DEG20110002	GNB1	EMBL:ENST00000378609.4	-	-	guanine nucleotide binding protein (G protein), beta polypeptide 1	Homo sapiens	1p36.33
DEG2011	DEG20110003	GABRD	EMBL:ENST00000378585.4	-	-	gamma-aminobutyric acid (GABA) A receptor, delta	Homo sapiens	1p36.3
DEG2011	DEG20110004	RER1	EMBL:ENST00000605895.1	-	-	retention in endoplasmic reticulum sorting receptor 1	Homo sapiens	1p36
DEG2011	DEG20110005	PRDM16	EMBL:ENST00000270722.5	-	-	PR domain containing 16	Homo sapiens	1p36.23-p33
DEG2011	DEG20110006	TP73	EMBL:ENST00000378295.4	-	-	tumor protein p73	Homo sapiens	1p36.3
DEG2011	DEG20110007	PANK4	EMBL:ENST00000378466.3	-	-	pantothenate kinase 4	Homo sapiens	1p36.32
DEG2011	DEG20110008	ICMT	EMBL:ENST00000343813.5	-	-	isoprenylcysteine carboxyl methyltransferase	Homo sapiens	1p36
DEG2011	DEG20110009	AJAP1	EMBL:ENST00000378191.4	-	-	adherens junctions associated protein 1	Homo sapiens	1p36.32
DEG2011	DEG20110010	CHD5	EMBL:ENST00000262450.3	-	-	chromodomain helicase DNA binding protein 5	Homo sapiens	1p36.3
DEG2011	DEG20110011	PHF13	EMBL:ENST00000377648.4	-	-	PHD finger protein 13	Homo sapiens	1p36.23
DEG2011	DEG20110012	DNAJC11	EMBL:ENST00000377577.5	-	-	DnaJ heat shock protein family (Hsp40) member C11	Homo sapiens	1p36.23
DEG2011	DEG20110013	PIK3CD	EMBL:ENST00000377346.4	-	-	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Homo sapiens	1p36.2
DEG2011	DEG20110014	CAMTA1	EMBL:ENST00000303635.7	-	-	calmodulin binding transcription activator 1	Homo sapiens	1p36.31-p36.23
DEG2011	DEG20110015	PARK7	EMBL:ENST00000493678.1	-	-	parkinson protein 7	Homo sapiens	1p36.23
DEG2011	DEG20110016	RERE	EMBL:ENST00000337907.3	-	-	arginine-glutamic acid dipeptide (RE) repeats	Homo sapiens	1p36.23
DEG2011	DEG20110017	TARDBP	EMBL:ENST00000240185.3	-	-	TAR DNA binding protein	Homo sapiens	1p36.22
DEG2011	DEG20110018	PGD	EMBL:ENST00000270776.8	-	-	phosphogluconate dehydrogenase	Homo sapiens	1p36.22
DEG2011	DEG20110019	CASZ1	EMBL:ENST00000377022.3	-	-	castor zinc finger 1	Homo sapiens	1p36.22
DEG2011	DEG20110020	KIF1B	EMBL:ENST00000263934.6	-	-	kinesin family member 1B	Homo sapiens	1p36.22
DEG2011	DEG20110021	UBE4B	EMBL:ENST00000343090.6	-	-	ubiquitination factor E4B	Homo sapiens	1p36.1
DEG2011	DEG20110022	MFN2	EMBL:ENST00000235329.5	-	-	mitofusin 2	Homo sapiens	1p36.22
DEG2011	DEG20110023	MTOR	EMBL:ENST00000361445.4	-	-	mechanistic target of rapamycin (serine/threonine kinase)	Homo sapiens	1p36
DEG2011	DEG20110024	VPS13D	EMBL:ENST00000358136.3	-	-	vacuolar protein sorting 13 homolog D (S. cerevisiae)	Homo sapiens	1p36.21
DEG2011	DEG20110025	PRDM2	EMBL:ENST00000235372.7	-	-	PR domain containing 2, with ZNF domain	Homo sapiens	1p36
DEG2011	DEG20110026	SPEN	EMBL:ENST00000375759.3	-	-	spen family transcriptional repressor	Homo sapiens	1p36
DEG2011	DEG20110027	ZBTB17	EMBL:ENST00000375743.4	-	-	zinc finger and BTB domain containing 17	Homo sapiens	1p36.13
DEG2011	DEG20110028	DDI2	EMBL:ENST00000480945.1	-	-	DNA damage inducible 1 homolog 2	Homo sapiens	1p36.13
DEG2011	DEG20110029	FBXO42	EMBL:ENST00000375592.3	-	-	F-box protein 42	Homo sapiens	1p36.23-p36.11
DEG2011	DEG20110030	UBR4	EMBL:ENST00000375254.3	-	-	ubiquitin protein ligase E3 component n-recognin 4	Homo sapiens	1p36.13
DEG2011	DEG20110031	EIF4G3	EMBL:ENST00000602326.1	-	-	eukaryotic translation initiation factor 4 gamma, 3	Homo sapiens	1p36.12
DEG2011	DEG20110032	ECE1	EMBL:ENST00000374893.6	-	-	endothelin converting enzyme 1	Homo sapiens	1p36.1
DEG2011	DEG20110033	HP1BP3	EMBL:ENST00000312239.5	-	-	heterochromatin protein 1, binding protein 3	Homo sapiens	1p36.12
DEG2011	DEG20110034	RAP1GAP	EMBL:ENST00000290101.4	-	-	RAP1 GTPase activating protein	Homo sapiens	1p36.1-p35
DEG2011	DEG20110035	EPHB2	EMBL:ENST00000374632.3	-	-	EPH receptor B2	Homo sapiens	1p36.1-p35
DEG2011	DEG20110036	USP48	EMBL:ENST00000308271.9	-	-	ubiquitin specific peptidase 48	Homo sapiens	1p36.12
DEG2011	DEG20110037	KDM1A	EMBL:ENST00000400181.4	-	-	lysine (K)-specific demethylase 1A	Homo sapiens	1p36.12
DEG2011	DEG20110038	HNRNPR	EMBL:ENST00000374616.3	-	-	heterogeneous nuclear ribonucleoprotein R	Homo sapiens	1p36.12
DEG2011	DEG20110039	TCEB3	EMBL:ENST00000418390.2	-	-	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	Homo sapiens	1p36.1
DEG2011	DEG20110040	LYPLA2	EMBL:ENST00000374514.3	-	-	lysophospholipase II	Homo sapiens	1p36.11
DEG2011	DEG20110041	E2F2	EMBL:ENST00000361729.2	-	-	E2F transcription factor 2	Homo sapiens	1p36
DEG2011	DEG20110042	TMEM57	EMBL:ENST00000374343.4	-	-	transmembrane protein 57	Homo sapiens	1p36.11
DEG2011	DEG20110043	GRHL3	EMBL:ENST00000350501.5	-	-	grainyhead-like transcription factor 3	Homo sapiens	1p36
DEG2011	DEG20110044	SRRM1	EMBL:ENST00000323848.9	-	-	serine/arginine repetitive matrix 1	Homo sapiens	1p36
DEG2011	DEG20110045	WDTC1	EMBL:ENST00000361771.3	-	-	WD and tetratricopeptide repeats 1	Homo sapiens	1p35.3
DEG2011	DEG20110046	ARID1A	EMBL:ENST00000324856.7	-	-	AT-rich interaction domain 1A	Homo sapiens	1p36.1-p35
DEG2011	DEG20110047	SLC9A1	EMBL:ENST00000263980.3	-	-	solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1	Homo sapiens	1p36.1-p35
DEG2011	DEG20110048	EYA3	EMBL:ENST00000373871.3	-	-	EYA transcriptional coactivator and phosphatase 3	Homo sapiens	1p36
DEG2011	DEG20110049	PPP1R8	EMBL:ENST00000311772.5	-	-	protein phosphatase 1 regulatory subunit 8	Homo sapiens	1p35.3
DEG2011	DEG20110050	AHDC1	EMBL:ENST00000374011.2	-	-	AT-hook DNA binding motif containing 1	Homo sapiens	1p36.13
DEG2011	DEG20110051	WASF2	EMBL:ENST00000430629.2	-	-	WAS protein family member 2	Homo sapiens	1p36.11
DEG2011	DEG20110052	SRSF4	EMBL:ENST00000373795.4	-	-	serine/arginine-rich splicing factor 4	Homo sapiens	1p35.3
DEG2011	DEG20110053	PUM1	EMBL:ENST00000426105.2	-	-	pumilio RNA binding family member 1	Homo sapiens	1p35.2
DEG2011	DEG20110054	PTPRU	EMBL:ENST00000345512.3	-	-	protein tyrosine phosphatase, receptor type, U	Homo sapiens	1p35.3
DEG2011	DEG20110055	GMEB1	EMBL:ENST00000294409.2	-	-	glucocorticoid modulatory element binding protein 1	Homo sapiens	1p35
DEG2011	DEG20110056	YTHDF2	EMBL:ENST00000373812.3	-	-	YTH N(6)-methyladenosine RNA binding protein 2	Homo sapiens	1p35
DEG2011	DEG20110057	ADGRB2	EMBL:ENST00000373658.3	-	-	adhesion G protein-coupled receptor B2	Homo sapiens	1p35
DEG2011	DEG20110058	KPNA6	EMBL:ENST00000373625.3	-	-	karyopherin alpha 6 (importin alpha 7)	Homo sapiens	1p35.1
DEG2011	DEG20110059	TXLNA	EMBL:ENST00000373609.1	-	-	taxilin alpha	Homo sapiens	1p35
DEG2011	DEG20110060	KHDRBS1	EMBL:ENST00000327300.7	-	-	KH domain containing, RNA binding, signal transduction associated 1	Homo sapiens	1p32
DEG2011	DEG20110061	ZBTB8OS	EMBL:ENST00000468695.1	-	-	zinc finger and BTB domain containing 8 opposite strand	Homo sapiens	1p35.1
DEG2011	DEG20110062	HDAC1	EMBL:ENST00000373548.3	-	-	histone deacetylase 1	Homo sapiens	1p34
DEG2011	DEG20110063	RBBP4	EMBL:ENST00000373493.5	-	-	retinoblastoma binding protein 4	Homo sapiens	1p35.1
DEG2011	DEG20110064	LCK	EMBL:ENST00000336890.5	-	-	LCK proto-oncogene, Src family tyrosine kinase	Homo sapiens	1p34.3
DEG2011	DEG20110065	S100PBP	EMBL:ENST00000373475.5	-	-	S100P binding protein	Homo sapiens	1p35.1
DEG2011	DEG20110066	SFPQ	EMBL:ENST00000357214.5	-	-	splicing factor proline/glutamine-rich	Homo sapiens	1p34.3
DEG2011	DEG20110067	DLGAP3	EMBL:ENST00000373347.1	-	-	discs, large (Drosophila) homolog-associated protein 3	Homo sapiens	1p35.3-p34.1
DEG2011	DEG20110068	ZNF362	EMBL:ENST00000539719.1	-	-	zinc finger protein 362	Homo sapiens	1p35.1
DEG2011	DEG20110069	ZMYM4	EMBL:ENST00000314607.6	-	-	zinc finger, MYM-type 4	Homo sapiens	1p34-p32
DEG2011	DEG20110070	AGO3	EMBL:ENST00000373191.4	-	-	argonaute 3, RISC catalytic component	Homo sapiens	1p34
DEG2011	DEG20110071	AGO4	EMBL:ENST00000373210.3	-	-	argonaute 4, RISC catalytic component	Homo sapiens	1p34
DEG2011	DEG20110072	MAP7D1	EMBL:ENST00000373151.2	-	-	MAP7 domain containing 1	Homo sapiens	1p34.3
DEG2011	DEG20110073	CLSPN	EMBL:ENST00000318121.3	-	-	claspin	Homo sapiens	1p34.3
DEG2011	DEG20110074	PSMB2	EMBL:ENST00000373237.3	-	-	proteasome subunit beta 2	Homo sapiens	1p34.2
DEG2011	DEG20110075	AGO1	EMBL:ENST00000373204.4	-	-	argonaute 1, RISC catalytic component	Homo sapiens	1p34.3
DEG2011	DEG20110076	NCDN	EMBL:ENST00000373243.2	-	-	neurochondrin	Homo sapiens	1p34.3
DEG2011	DEG20110077	THRAP3	EMBL:ENST00000354618.5	-	-	thyroid hormone receptor associated protein 3	Homo sapiens	1p34.3
DEG2011	DEG20110078	STK40	EMBL:ENST00000373129.3	-	-	serine/threonine kinase 40	Homo sapiens	1p34.3
DEG2011	DEG20110079	ZC3H12A	EMBL:ENST00000373087.6	-	-	zinc finger CCCH-type containing 12A	Homo sapiens	1p34.3
DEG2011	DEG20110080	MTF1	EMBL:ENST00000373036.4	-	-	metal-regulatory transcription factor 1	Homo sapiens	1p33
DEG2011	DEG20110081	SF3A3	EMBL:ENST00000373019.4	-	-	splicing factor 3a subunit 3	Homo sapiens	1p34.3
DEG2011	DEG20110082	SNIP1	EMBL:ENST00000296215.6	-	-	Smad nuclear interacting protein 1	Homo sapiens	1p34.3
DEG2011	DEG20110083	GRIK3	EMBL:ENST00000373091.3	-	-	glutamate receptor, ionotropic, kainate 3	Homo sapiens	1p34.3
DEG2011	DEG20110084	PPIE	EMBL:ENST00000372830.1	-	-	peptidylprolyl isomerase E (cyclophilin E)	Homo sapiens	1p32
DEG2011	DEG20110085	PABPC4	EMBL:ENST00000372858.3	-	-	poly(A) binding protein, cytoplasmic 4 (inducible form)	Homo sapiens	1p34.2
DEG2011	DEG20110086	MACF1	EMBL:ENST00000545844.1	-	-	microtubule-actin crosslinking factor 1	Homo sapiens	1p32-p31
DEG2011	DEG20110087	RLF	EMBL:ENST00000372771.4	-	-	rearranged L-myc fusion	Homo sapiens	1p32
DEG2011	DEG20110088	CTPS1	EMBL:ENST00000372621.4	-	-	CTP synthase 1	Homo sapiens	1p34.1
DEG2011	DEG20110089	KCNQ4	EMBL:ENST00000347132.5	-	-	potassium channel, voltage gated KQT-like subfamily Q, member 4	Homo sapiens	1p34
DEG2011	DEG20110090	MFSD2A	EMBL:ENST00000372809.5	-	-	major facilitator superfamily domain containing 2A	Homo sapiens	1p34.2
DEG2011	DEG20110091	FOXJ3	EMBL:ENST00000372572.1	-	-	forkhead box J3	Homo sapiens	1p34.2
DEG2011	DEG20110092	SLC2A1	EMBL:ENST00000426263.3	-	-	solute carrier family 2 (facilitated glucose transporter), member 1	Homo sapiens	1p34.2
DEG2011	DEG20110093	YBX1	EMBL:ENST00000321358.7	-	-	Y-box binding protein 1	Homo sapiens	1p34
DEG2011	DEG20110094	PTPRF	EMBL:ENST00000359947.4	-	-	protein tyrosine phosphatase, receptor type, F	Homo sapiens	1p34
